transaction_id,date,product_name,category,quantity,unit_price,cost_price,discount_percent,region,payment_method
TXN-0167,2026-01-01,Cushion Covers,Home & Kitchen,1,1236.67,846.93,15,North,Debit Card
TXN-0111,2026-01-01,Smart Watch,Electronics,2,2665.21,1821.3,10,West,UPI
TXN-0086,2026-01-01,Gym Gloves,Sports & Fitness,1,2988.94,2402.18,0,South,Credit Card
TXN-0059,2026-01-01,Formal Shirt,Clothing,2,3403.84,2018.72,5,East,Credit Card
TXN-0027,2026-01-01,USB-C Hub,Electronics,2,3517.11,2887.74,10,South,Credit Card
TXN-0022,2026-01-01,Mechanical Keyboard,Electronics,1,3449.37,2529.93,20,East,Debit Card
TXN-0177,2026-01-01,Gaming Mouse,Electronics,4,3172.69,2717.94,0,West,Net Banking
TXN-0157,2026-01-01,Cushion Covers,Home & Kitchen,2,827.46,576.07,20,South,UPI
TXN-0138,2026-01-02,Planner 2024,Books & Stationery,4,127.34,119.12,10,South,Credit Card
TXN-0080,2026-01-02,Bedsheet Set,Home & Kitchen,1,2419.22,1573.62,0,South,Credit Card
TXN-0198,2026-01-02,Sunscreen SPF50,Beauty & Personal Care,1,1067.18,660.81,0,West,Debit Card
TXN-0149,2026-01-02,Cargo Pants,Clothing,2,906.23,463.59,0,East,UPI
TXN-0084,2026-01-02,Beard Oil,Beauty & Personal Care,2,1465.34,774.05,15,South,Credit Card
TXN-0148,2026-01-02,Webcam HD,Electronics,1,6450.87,4508.69,0,North,Net Banking
TXN-0120,2026-01-02,LED Desk Lamp,Home & Kitchen,1,1885.46,1479.28,5,East,Credit Card
TXN-0062,2026-01-03,Non-Stick Pan,Home & Kitchen,1,1379.82,854.34,0,West,Net Banking
TXN-0151,2026-01-03,Sports Shoes,Sports & Fitness,3,4922.09,3579.34,0,North,Debit Card
TXN-0076,2026-01-03,Shampoo 500ml,Beauty & Personal Care,3,658.34,460.24,0,North,UPI
TXN-0031,2026-01-03,Water Bottle 1L,Home & Kitchen,1,2594.78,1846.61,15,North,Credit Card
TXN-0011,2026-01-03,Polo T-Shirt,Clothing,1,2463.36,1410.55,5,North,Debit Card
TXN-0129,2026-01-03,Phone Stand,Electronics,1,15852.19,14583.0,0,North,UPI
TXN-0029,2026-01-03,Wall Clock,Home & Kitchen,2,1603.42,1188.82,0,East,UPI
TXN-0136,2026-01-03,LED Desk Lamp,Home & Kitchen,2,1338.67,766.43,0,North,UPI
TXN-0061,2026-01-04,Phone Stand,Electronics,1,6700.68,5749.61,0,West,Debit Card
TXN-0166,2026-01-04,Water Bottle 1L,Home & Kitchen,2,329.83,224.73,5,South,UPI
TXN-0132,2026-01-04,Wireless Earbuds,Electronics,1,14636.15,13287.03,0,North,Net Banking
TXN-0021,2026-01-04,Moisturizer,Beauty & Personal Care,3,835.07,381.18,0,North,Credit Card
TXN-0115,2026-01-04,Pen Set Premium,Books & Stationery,3,316.85,345.62,0,South,UPI
TXN-0208,2026-01-04,Non-Stick Pan,Home & Kitchen,1,2518.3,1511.25,0,North,Net Banking
TXN-0090,2026-01-04,Hair Serum,Beauty & Personal Care,2,370.76,153.83,0,South,Credit Card
TXN-0093,2026-01-04,Hoodie,Clothing,1,2860.48,1613.25,15,West,Cash
TXN-0047,2026-01-04,Winter Jacket,Clothing,2,765.31,414.02,15,South,Net Banking
TXN-0196,2026-01-04,Resistance Bands,Sports & Fitness,1,4545.52,2810.1,5,North,UPI
TXN-0040,2026-01-05,Football,Sports & Fitness,1,4685.15,3085.26,5,East,Credit Card
TXN-0042,2026-01-05,Phone Stand,Electronics,1,12402.14,8707.96,0,South,Debit Card
TXN-0163,2026-01-05,Shampoo 500ml,Beauty & Personal Care,1,207.94,133.79,5,West,Net Banking
